doc_id,sentence,pattern_type,matched_text,ai_similarity,impact_verbs,affected_entities,magnitudes,timeframes,sentence_length,domain,impact_type,primary_magnitude,sentiment_score
URL7,"In addition to customer service representatives and drivers, other roles that could be impacted by
automation automation include:
•Computer programmers: Even programming tasks can be automated to some
extent with AI, though more complex tasks still require a human touch.
",DEPENDENCY_ANALYSIS,N/A,0.615193009,['automate'],['ai'],[],[],49,general,neutral,,0.672618747
URL7,"The impact
of artificial intelligence on employment in these careers is relatively low:
",ECONOMIC_IMPACT,impact,0.430998981,[],[],[],[],16,economic,neutral,,0.63416326
URL7,"Ways AI Impacts the Job Market and Employment Trends
https://onlinedegrees.sandiego.edu/ai-impact-on-job-market/ 2/8
•Social worker
•Therapist
•Handyperson
•Lawyer
•HR specialist
•Writer
•Artist
AI as a Job Creator
Apart from automating tasks, AI is also creating new jobs.",JOB_IMPACT,creating,0.482098579,"['automate', 'create']","['the', 'job', 'market', 'and', 'employment', 'trends', '\n', 'https://onlinedegrees.sandiego.edu/ai-impact-on-job-market/', 'ai', 'task', 'ai', 'job']",['2/8'],[],47,employment,neutral,02-Aug,0.826919198
URL7,"Here are several new roles created from advancements in AI:
",JOB_IMPACT,created,0.529237986,['create'],['ai'],[],[],12,employment,positive,,0.66141367
URL7,"Machine learning engineers develop and refine
algorithms that enable systems to learn from data and improve their performance
over time.",DEPENDENCY_ANALYSIS,N/A,0.582337499,['improve'],['performance'],[],[],23,education,neutral,,0.498918623
URL7,"From applications like facial recognition and predictive
analytics to automation, machine learning is transforming industries.
",DEPENDENCY_ANALYSIS,N/A,0.528081715,['transform'],"['learning', 'industry']",[],[],19,education,positive,,0.698574603
URL7,"Chatbot developers specialize in AI
and NLP to create bots that can understand users, communicate naturally, and
provide valuable assistance.",JOB_IMPACT,create,0.438282162,['create'],"['ai', 'nlp', 'bot']",[],[],25,employment,neutral,,0.521247864
URL7,"An AI prompt engineer designs and refines prompts to
optimize the responses generated by AI systems.",JOB_IMPACT,generated,0.533550084,[],"['ai', 'ai']",[],[],18,employment,neutral,,0.870547593
URL7,"Ways AI Impacts the Job Market and Employment Trends
https://onlinedegrees.sandiego.edu/ai-impact-on-job-market/ 3/8
AI is transforming the landscape of human resources (HR) and recruitment by streamlining
numerous processes.",DEPENDENCY_ANALYSIS,N/A,0.463536143,['transform'],"['the', 'job', 'market', 'and', 'employment', 'trends', '\n', 'https://onlinedegrees.sandiego.edu/ai-impact-on-job-market/', '3/8', 'ai', 'ai', 'landscape']",['3/8'],[],32,employment,neutral,03-Aug,0.643533587
URL7,"Advantages of AI in Hiring
AI is transforming recruitment and workforce management by optimizing key processes.
",DEPENDENCY_ANALYSIS,N/A,0.400915563,['transform'],"['hire', 'advantage', 'management']",[],[],19,general,positive,,0.586956561
URL7,"Machines taking on more routine and
data-driven tasks boosts the demand for specific human skills.",DEPENDENCY_ANALYSIS,N/A,0.426103294,['boost'],"['machine', 'demand']",[],[],19,productivity,neutral,,0.785483003
URL7,"According to the World Economic Forum 2025 Future of Jobs Report, individuals should consider
building the following skills to stay competitive and relevant in the AI-driven job market:
•Analytical thinking
•AI and big data10/30/25, 12:28 PM",ECONOMIC_IMPACT,Economic,0.463964462,[],"['the', 'world', 'economic', 'forum', '2025', 'future', 'of', 'jobs', 'report', 'ai']",['2025'],[],44,economic,neutral,2025,0.564590156
URL7,"They will be essential in leveraging AI and automation to solve complex
problems, drive innovation and ensure meaningful human contribution in the workforce.
",ECONOMIC_IMPACT,contribution,0.549788713,[],['ai'],[],[],27,economic,positive,,0.827786684
URL7,"5. Use AI to Your Benefit
Leveraging AI tools and platforms can increase efficiency, provide new insights and free up time for
more strategic tasks.",PRODUCTIVITY_IMPACT,increase efficiency,0.567325234,['increase'],"['ai', 'platform', 'efficiency']",['5'],[],30,productivity,positive,5,0.824331462
URL7,"Ways AI Impacts the Job Market and Employment Trends
https://onlinedegrees.sandiego.edu/ai-impact-on-job-market/ 6/8
AI and the Job Market: Final Thoughts
AI has a significant impact on the job market, leading to both job displacement and the creation of
new roles.",ECONOMIC_IMPACT,impact,0.469537526,[],"['the', 'job', 'market', 'and', 'employment', 'trends', '\n', 'https://onlinedegrees.sandiego.edu/ai-impact-on-job-market/', '6/8', 'ai']",['6/8'],[],45,economic,neutral,06-Aug,0.881683826
URL7,"FAQS
AI continues to have a significant impact on jobs across various industries.",ECONOMIC_IMPACT,impact,0.438596934,[],[],[],[],15,economic,positive,,0.723525345
URL7,"While it can automate
routine and repetitive tasks, leading to job displacement in certain sectors, it also creates new
opportunities by enhancing productivity and enabling the development of entirely new roles.
",JOB_IMPACT,creates,0.450311691,"['automate', 'create', 'enhance']","['it', 'task', 'it', 'opportunity', 'productivity']",[],[],37,employment,neutral,,0.613289654
URL7,"While the logistics of some roles shift with the development of AI, many jobs will be enhanced
rather than replaced.",JOB_IMPACT,replaced,0.457469285,['enhance'],['ai'],[],[],23,employment,neutral,,0.832807541
URL7,"AI can automate repetitive tasks, freeing up employees to focus on more
complex, creative or strategic work.",DEPENDENCY_ANALYSIS,N/A,0.577565789,['automate'],"['ai', 'ai', 'task']",[],[],21,productivity,positive,,0.510510683
URL7,The ability of AI to automate certain repetitive tasks is viewed by some as a threat.,DEPENDENCY_ANALYSIS,N/A,0.565631747,['automate'],"['ai', 'task']",[],[],17,general,negative,,0.550174177
URL7,"What is the impact of AI on jobs?
",ECONOMIC_IMPACT,impact,0.5309847,[],['ai'],[],[],10,economic,neutral,,0.868414938
URL7,"What jobs will not be replaced by AI?10/30/25, 12:28 PM",JOB_IMPACT,replaced,0.482998013,[],[],[],[],11,employment,neutral,,0.84573102
URL3,"The deluge of data we generate daily is
essential to training and improving AI systems for tasks such as automating
processes more efﬁciently, producing more reliable predictive outcomes and
providing greater network security.
",JOB_IMPACT,generate,0.525683522,"['improve', 'automate']","['ai', 'system']",[],[],39,employment,positive,,0.549339831
URL3,"The deluge of data we generate daily is
essential to training and improving AI systems for tasks such as automating
processes more efﬁciently, producing more reliable predictive outcomes and
providing greater network security.
",SKILL_WAGE_IMPACT,training,0.525683522,"['improve', 'automate']","['ai', 'system']",[],[],39,skills_wages,positive,,0.549339831
URL3,"Many of these breakthrough advancements have ﬂown
under the radar, visible mostly to academic, government and scientiﬁc research
circles until the past decade or so, when AI was practically applied to the wants
and needs of the masses.",TIMEFRAME,decade,0.562182069,[],['ai'],[],[],45,general,neutral,,0.594339788
URL3,"Here are 10 approaches
8 jobs that AI can't replace and why
8 AI and machine learning trends to watch in 202510/30/25, 12:17 PM",JOB_IMPACT,replace,0.505961657,[],['ai'],"['10', '8', '8']",[],28,employment,neutral,10,0.724234581
URL3,"Oliver Selfridge published ""Pandemonium: A Paradigm for Learning,"" a landmark
contribution to machine learning that described a model that could adaptively
improve itself to ﬁnd patterns in events.
",ECONOMIC_IMPACT,contribution,0.460055113,['improve'],"['oliver', 'selfridge', 'that', 'itself']",[],[],36,economic,neutral,,0.667280853
URL3,"The History of Artificial Intelligence: Complete AI Timeline
https://www.techtarget.com/searchenterpriseai/tip/The-history-of-artificial-intelligence-Complete-AI-timeline 4/16
Joseph Weizenbaum created Eliza, one of the more celebrated computer programs
of all time, capable of engaging in conversations with humans and making them
believe the software had humanlike emotions.
",JOB_IMPACT,created,0.505322337,['create'],"['joseph', 'weizenbaum', 'eliza', 'weizenbaum', 'eliza']","['4/16', 'one']",[],49,employment,neutral,Apr-16,0.651614547
URL3,"Marvin Minsky and Seymour Papert published the book Perceptrons, which
described the limitations of simple neural networks and caused neural network
research to decline and symbolic AI research to thrive.
",DEPENDENCY_ANALYSIS,N/A,0.48051846,['decline'],"['marvin', 'minsky', 'seymour', 'papert']",[],[],35,education,neutral,,0.839796305
URL3,"James Lighthill released the report ""Artiﬁcial Intelligence: A General Survey,""
which caused the British government to signiﬁcantly reduce support for AI
research.
",JOB_IMPACT,reduce,0.496450186,['reduce'],"['james', 'lighthill', 'british', 'government', 'support']",[],[],30,employment,negative,,0.629293561
URL3,"Marvin Minsky and Roger Schank coined the term AI winter at a meeting of the
Association for the Advancement of Artiﬁcial Intelligence, warning the business
community that AI hype would lead to disappointment and the collapse of the
industry, which happened three years later.
",TIMEFRAME,three years,0.492802292,[],"['marvin', 'minsky', 'roger', 'schank', 'ai', 'the', '\n', 'association', 'for', 'the', 'advancement', 'of', 'artiﬁcial', 'intelligence', 'ai']",['three'],[],51,general,neutral,three,0.726733983
URL3,"Marvin Minsky and Roger Schank coined the term AI winter at a meeting of the
Association for the Advancement of Artiﬁcial Intelligence, warning the business
community that AI hype would lead to disappointment and the collapse of the
industry, which happened three years later.
",TIMEFRAME,years,0.492802292,[],"['marvin', 'minsky', 'roger', 'schank', 'ai', 'the', '\n', 'association', 'for', 'the', 'advancement', 'of', 'artiﬁcial', 'intelligence', 'ai']",['three'],[],51,general,neutral,three,0.726733983
URL3,"The History of Artificial Intelligence: Complete AI Timeline
https://www.techtarget.com/searchenterpriseai/tip/The-history-of-artificial-intelligence-Complete-AI-timeline 8/16
Diederik Kingma and Max Welling introduced variational autoencoders to
generate images, videos and text.
",JOB_IMPACT,generate,0.464786887,[],"['diederik', 'kingma', 'max', 'welling']",['8/16'],[],31,employment,neutral,Aug-16,0.847509623
URL3,"The History of Artificial Intelligence: Complete AI Timeline
https://www.techtarget.com/searchenterpriseai/tip/The-history-of-artificial-intelligence-Complete-AI-timeline 10/16
The University of California, San Diego, created a four-legged soft robot that
functioned on pressurized air instead of electronics.
",JOB_IMPACT,created,0.462349474,['create'],"['the', 'university', 'of', 'california', 'san', 'diego', 'history', 'robot']","['10/16', 'four']",[],39,employment,neutral,Oct-16,0.856788158
URL3,"Elon Musk, Steve Wozniak and thousands more signatories urged a six-month
pause on training ""AI systems more powerful than GPT-4.""2022
2023
Ultimate Guide to Generative AI for Businesses Ultimate Guide to Generative AI for Businesses
202410/30/25, 12:17 PM",TIMEFRAME,month,0.480324507,[],"['elon', 'musk', 'steve', 'wozniak', 'ultimate', 'guide', 'to', 'generative', 'ai']","['six', '2023']",[],47,general,neutral,six,0.697098434
URL3,"Elon Musk, Steve Wozniak and thousands more signatories urged a six-month
pause on training ""AI systems more powerful than GPT-4.""2022
2023
Ultimate Guide to Generative AI for Businesses Ultimate Guide to Generative AI for Businesses
202410/30/25, 12:17 PM",SKILL_WAGE_IMPACT,training,0.480324507,[],"['elon', 'musk', 'steve', 'wozniak', 'ultimate', 'guide', 'to', 'generative', 'ai']","['six', '2023']",[],47,skills_wages,neutral,six,0.697098434
URL3,"The History of Artificial Intelligence: Complete AI Timeline
https://www.techtarget.com/searchenterpriseai/tip/The-history-of-artificial-intelligence-Complete-AI-timeline 11/16
Generative AI tools continued to evolve rapidly with improved model architectures,
efﬁciency gains and better training data.",SKILL_WAGE_IMPACT,training,0.470507145,[],[],['11/16'],[],33,skills_wages,positive,Nov-16,0.581766844
URL3,"The California legislature passed several AI-related bills, deﬁning AI and
regulating the largest AI models, GenAI training data transparency, algorithmic
discrimination and deepfakes in election campaigns.",SKILL_WAGE_IMPACT,training,0.553058147,[],"['california', 'ai', 'ai', 'ai']",[],[],34,skills_wages,neutral,,0.887740612
URL3,"Corporate spending on generative AI is expected to surpass $1 trillion in the
coming years.",ECONOMIC_IMPACT,$1 trillion,0.405997425,[],['ai'],"['1', 'trillion']",[],18,economic,neutral,1,0.693776727
URL3,"Corporate spending on generative AI is expected to surpass $1 trillion in the
coming years.",ECONOMIC_IMPACT,1 trillion,0.405997425,[],['ai'],"['1', 'trillion']",[],18,economic,neutral,1,0.693776727
URL3,"Corporate spending on generative AI is expected to surpass $1 trillion in the
coming years.",ECONOMIC_IMPACT,trillion,0.405997425,[],['ai'],"['1', 'trillion']",[],18,economic,neutral,1,0.693776727
URL3,"Corporate spending on generative AI is expected to surpass $1 trillion in the
coming years.",TIMEFRAME,years,0.405997425,[],['ai'],"['1', 'trillion']",[],18,economic,neutral,1,0.693776727
URL1,"10 AI milestones of the last 10 years
Monday 18 Dec 2023",TIMEFRAME,10 years,0.490366489,[],['ai'],"['10', '10', '18', '2023']",['last 10 years'],13,general,positive,10,0.539735258
URL1,"10 AI milestones of the last 10 years
Monday 18 Dec 2023",TIMEFRAME,years,0.490366489,[],['ai'],"['10', '10', '18', '2023']",['last 10 years'],13,general,positive,10,0.539735258
URL1,"Let’s take a peek behind the
scientific scenes of the last 10 years, to explore the milestones in AI research that got us here.
",TIMEFRAME,10 years,0.526159346,[],['ai'],['10'],['last 10 years'],29,general,positive,10,0.691315532
URL1,"Let’s take a peek behind the
scientific scenes of the last 10 years, to explore the milestones in AI research that got us here.
",TIMEFRAME,years,0.526159346,[],['ai'],['10'],['last 10 years'],29,general,positive,10,0.691315532
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 1/5
adversary then works out which ones are fake, and this process repeats many times, with the generator gradually learning
to make more realistic examples.
",TIMEFRAME,10 years,0.431445748,[],"['ai', 'royal', 'institution']","['10', '10', '1/5']",['last 10 years'],48,general,neutral,10,0.859908938
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 1/5
adversary then works out which ones are fake, and this process repeats many times, with the generator gradually learning
to make more realistic examples.
",TIMEFRAME,years,0.431445748,[],"['ai', 'royal', 'institution']","['10', '10', '1/5']",['last 10 years'],48,general,neutral,10,0.859908938
URL1,"<https://www.hansonrobotics.com/sophia/> Sophia
combines vision algorithms, that process visual inputs from its camera eyes, with speech algorithms that employ natural
language processing to process and produce speech, to create a human-like impression.
",JOB_IMPACT,create,0.418487012,['create'],['impression'],[],[],42,employment,neutral,,0.888103187
URL1,"AI-generated voices now have a
range of good, bad and ugly real-world applications, from helping those with neurological diseases regain a voice, to being
used by criminals to simulate family members in money-extracting scams.
",JOB_IMPACT,generated,0.418573618,[],[],[],[],47,employment,negative,,0.532060146
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 2/5
Milestone 6: The first Transformer lays the technological foundation for
large language models (LLMs) (2017)
Scientists at Google had been working on a new way to program Google Translate.",TIMEFRAME,10 years,0.40094009,[],"['ai', 'royal', 'institution', '\x91transformer\x92', 'google', 'google', 'translate']","['10', '10', '2/5', '6', 'first', '2017']",['last 10 years'],56,general,neutral,10,0.738636494
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 2/5
Milestone 6: The first Transformer lays the technological foundation for
large language models (LLMs) (2017)
Scientists at Google had been working on a new way to program Google Translate.",TIMEFRAME,years,0.40094009,[],"['ai', 'royal', 'institution', '\x91transformer\x92', 'google', 'google', 'translate']","['10', '10', '2/5', '6', 'first', '2017']",['last 10 years'],56,general,neutral,10,0.738636494
URL1,"The way Transformers extract
and generate meaning from patterns would become central to the technology used in subsequent AI breakthroughs like
AlphaFold and large language models.
",JOB_IMPACT,generate,0.459308296,[],[],[],[],30,employment,neutral,,0.540542662
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 3/5
are not the only companies developing such models: others like DeepMind and Hugging Face are also vying to get ahead
in the race to super-human artificial intelligence.
",TIMEFRAME,10 years,0.462566823,[],"['ai', 'royal', 'institution', 'deepmind']","['10', '10', '3/5']",['last 10 years'],52,general,neutral,10,0.776378214
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 3/5
are not the only companies developing such models: others like DeepMind and Hugging Face are also vying to get ahead
in the race to super-human artificial intelligence.
",TIMEFRAME,years,0.462566823,[],"['ai', 'royal', 'institution', 'deepmind']","['10', '10', '3/5']",['last 10 years'],52,general,neutral,10,0.776378214
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 4/5
More ways to support
The Royal Institution, 21 Albemarle Street, London W1S",TIMEFRAME,10 years,0.429919273,[],"['ai', 'royal', 'institution', 'the', 'royal', 'institution', 'albemarle', 'street', 'london']","['10', '10', '4/5', '21']",['last 10 years'],34,general,neutral,10,0.619969785
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 4/5
More ways to support
The Royal Institution, 21 Albemarle Street, London W1S",TIMEFRAME,years,0.429919273,[],"['ai', 'royal', 'institution', 'the', 'royal', 'institution', 'albemarle', 'street', 'london']","['10', '10', '4/5', '21']",['last 10 years'],34,general,neutral,10,0.619969785
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 5/5
",TIMEFRAME,10 years,0.463915914,[],"['ai', 'royal', 'institution']","['10', '10', '5/5']",['last 10 years'],19,general,neutral,10,0.788059592
URL1,"10/30/25, 12:16 PM 10 AI milestones of the last 10 years | Royal Institution
https://www.rigb.org/explore-science/explore/blog/10-ai-milestones-last-10-years 5/5
",TIMEFRAME,years,0.463915914,[],"['ai', 'royal', 'institution']","['10', '10', '5/5']",['last 10 years'],19,general,neutral,10,0.788059592
shsconf_pesd2023_03022,"While benefiting society, the technological progress of  artificial intelligence (AI) has also 
brought a rising number of unemployed people and br eeded polarization in income distribution by 
threatening the low-skill and labor- intensive industry.",SKILL_WAGE_IMPACT,income,0.480007708,[],[],[],[],43,skills_wages,neutral,,0.624942422
shsconf_pesd2023_03022,"While benefiting society, the technological progress of  artificial intelligence (AI) has also 
brought a rising number of unemployed people and br eeded polarization in income distribution by 
threatening the low-skill and labor- intensive industry.",SKILL_WAGE_IMPACT,skill,0.480007708,[],[],[],[],43,skills_wages,neutral,,0.624942422
shsconf_pesd2023_03022,"To solve the negative impact of AI, policies about the 
taxation and subsidy on AI  and the income-supporting program can be proposed.",ECONOMIC_IMPACT,impact,0.459132612,[],"['ai', 'ai']",[],[],28,economic,neutral,,0.710326135
shsconf_pesd2023_03022,"To solve the negative impact of AI, policies about the 
taxation and subsidy on AI  and the income-supporting program can be proposed.",SKILL_WAGE_IMPACT,income,0.459132612,[],"['ai', 'ai']",[],[],28,skills_wages,neutral,,0.710326135
shsconf_pesd2023_03022,"A news title from 
IEEE Spectrum is interesting: “The AI owes its success 
to self-training deep neural  networks, which can, in 
principle, be applied to other domains.",SKILL_WAGE_IMPACT,training,0.483681619,[],"['ieee', 'spectrum', 'ai']",[],[],39,skills_wages,positive,,0.687691033
shsconf_pesd2023_03022,"The government must intervene to address 
the issues caused by the negative impact of AI.",ECONOMIC_IMPACT,impact,0.552314639,[],['ai'],[],[],17,economic,neutral,,0.543953061
shsconf_pesd2023_03022,"Several 
previous measures proposed to deal with the progress of 
AI did not work well to so lve the negative impact of AI. 
",ECONOMIC_IMPACT,impact,0.454814851,[],"['ai', 'ai']",[],[],27,economic,negative,,0.692251861
shsconf_pesd2023_03022,"In this paper, both a short-term solution and a long-term 
solution are provided to assist the government to resolve 
the negative impact of AI on employment and to realize 
sustainable social development.",ECONOMIC_IMPACT,impact,0.443487287,[],['ai'],[],[],41,economic,neutral,,0.655537009
shsconf_pesd2023_03022,"They have been 
adjusting their attitudes to AI and recognize that AI is 
essential to science, economy, and the governments’ 
self-management.",ECONOMIC_IMPACT,economy,0.568049669,[],"['ai', 'ai']",[],[],30,economic,neutral,,0.660386264
shsconf_pesd2023_03022,"In addition to industrial relocation, a relatively more 
effective solution against the negative impact of AI on 
employment is the long-term reframing of the education system to adapt to the labor market restructured by AI. 
",ECONOMIC_IMPACT,impact,0.459446728,[],"['ai', 'ai']",[],[],42,economic,neutral,,0.819957256
shsconf_pesd2023_03022,"The sectors estimated to see the largest net 
long-term decrease in jobs due to AI include 
manufacturing (-25%), transport and storage (-22%), and 
public administration (-18%)",DEPENDENCY_ANALYSIS,N/A,0.444451243,['decrease'],['ai'],"['-25', '-22', '-18']",[],42,economic,negative,-25,0.530418158
shsconf_pesd2023_03022,"For the mismatch between the demand on labor market and the occupational change 
caused by AI progress, it is the duty of the government to 
provide the right education and training in the right 
occupations for the individuals. 
",SKILL_WAGE_IMPACT,training,0.479172766,[],['ai'],[],[],44,skills_wages,neutral,,0.771973848
shsconf_pesd2023_03022,"Although 
the technical progress of AI has brought a huge increase 
in productivity, the negative impact of AI is still a deep 
concern for the gove rnment.",ECONOMIC_IMPACT,impact,0.494992077,['increase'],"['ai', 'ai']",[],[],32,economic,neutral,,0.626341343
shsconf_pesd2023_03022,"The negative impact of AI 
on the labor market, employment, and income can cause 
a Mathew Effect, a polarization  effect referring that 
the 
strong ones will be stronger and the weak ones will be 
weaker.",ECONOMIC_IMPACT,impact,0.436967283,[],"['ai', 'mathew', 'effect']",[],[],45,economic,negative,,0.564563096
shsconf_pesd2023_03022,"The negative impact of AI 
on the labor market, employment, and income can cause 
a Mathew Effect, a polarization  effect referring that 
the 
strong ones will be stronger and the weak ones will be 
weaker.",SKILL_WAGE_IMPACT,income,0.436967283,[],"['ai', 'mathew', 'effect']",[],[],45,skills_wages,negative,,0.564563096
shsconf_pesd2023_03022,"AI100 Standing Committe e and Study Panel, 
""Gathering Strength, Gathering Storms: The One 
Hundred Year Study on  Artificial Intelligence 
(AI100) 2021 Study Panel Report"".",TIMEFRAME,Hundred Year,0.509928703,[],"['ai100', 'standing', 'committe', 'study', 'panel', 'artificial', 'intelligence']","['One', 'Hundred', '2021']",[],36,general,neutral,One,0.913945913
shsconf_pesd2023_03022,"AI100 Standing Committe e and Study Panel, 
""Gathering Strength, Gathering Storms: The One 
Hundred Year Study on  Artificial Intelligence 
(AI100) 2021 Study Panel Report"".",TIMEFRAME,Year,0.509928703,[],"['ai100', 'standing', 'committe', 'study', 'panel', 'artificial', 'intelligence']","['One', 'Hundred', '2021']",[],36,general,neutral,One,0.913945913
shsconf_pesd2023_03022,"J. Hawksworth and Y. Fertig, What will be the net 
impact of AI and related techno logies on jobs in the 
UK?",ECONOMIC_IMPACT,impact,0.419818014,[],"['j.', 'hawksworth', 'y.', 'fertig', 'ai', 'uk']",[],[],26,economic,neutral,,0.91890806
FINAL-Impact-of-AI-on-society,"IMPACT OF THE ARTIFICIAL 
INTELLIGENCE ON SOCIETY
Curriculum for primary school children
Developed within the project AI in STEM education carried out by the European 
Wergeland Centre and IRIM (Croatia) and funded by the EEA and Norway Grants.
",ECONOMIC_IMPACT,IMPACT,0.413310409,[],"['ai', 'stem', 'european', 'eea', 'norway', 'grants']",[],[],46,economic,neutral,,0.872929215
FINAL-Impact-of-AI-on-society,"To 
put it simply, machines learn from provided
examples to recognize patterns, distinguish 
objects, categorize them, and create pre-
dictions based on observed trends. 
",JOB_IMPACT,create,0.541682899,['create'],['diction'],[],[],34,employment,neutral,,0.890773952
FINAL-Impact-of-AI-on-society,"Practically every action in the digital world 
generates a trackable data packet, which can
be used for further analysis and AI-based 
decision-making.",JOB_IMPACT,generates,0.442593575,[],['ai'],[],[],31,employment,neutral,,0.850559413
FINAL-Impact-of-AI-on-society,"Still, AI can use algorithms to 
spot patterns and restore damaged pictures, 
remove unwanted items from the background, 
and even generate new images, based on pro-
vided text or other images.  
",JOB_IMPACT,generate,0.516907513,[],['ai'],[],[],41,employment,neutral,,0.848596573
FINAL-Impact-of-AI-on-society,"Extension activity
Teachers can use the A-to-Z of AI guide (5) to reference some AI terminology, or even create 
such a guide with their students themselves.",JOB_IMPACT,create,0.446886837,['create'],"['ai', 'guide']",['5'],[],36,employment,neutral,5,0.876213908
FINAL-Impact-of-AI-on-society,"If we fail to notice it 
from the start, the decisions generated by AI 
would only deepen the inequity. 
",JOB_IMPACT,generated,0.543293297,[],['ai'],[],[],24,employment,negative,,0.714560568
FINAL-Impact-of-AI-on-society,"Can you draw the 
missing half of the emoji? 
15With every technology, AI included, we need to 
think carefully about its impact on society.",ECONOMIC_IMPACT,impact,0.410159558,[],['ai'],[],[],31,economic,neutral,,0.836550593
FINAL-Impact-of-AI-on-society,"›Write an essay about the future of AI in your everyday life: how will we eat, build 
       houses, travel, cook, and learn in the future. 
 ›Alternatively, create any other deliverable: a short video, a cartoon, a presentation, 
a drawing, a poster, etc.",JOB_IMPACT,create,0.547186434,['create'],"['ai', 'deliverable']",[],[],59,employment,neutral,,0.86991483
FINAL-Impact-of-AI-on-society,"Extension activity
The book ”Artificial Intelligence & Me” (10) can be used to summarize the learning and get 
an overview of important ideas in AI (namely Perception, Representation and Reasoning, 
Learning, Natural Interaction, and Societal Impact) for students. 
",ECONOMIC_IMPACT,Impact,0.548851132,[],"['artificial', 'intelligence', '&', 'me', 'ai', 'perception', ',', 'representation', 'and', 'reasoning', 'learning', ',', 'natural', 'interaction', 'societal', 'impact']",['10'],[],53,economic,neutral,10,0.708770037
